,Layout,Wing,Span,dV,AoA,Cx,Cy,Cz,dCx,dCy,dMz
43,1,0,0.25,-8,-4.0,0.017707,-0.12326,0.30077,0.0002239999999999985,-0.05628999999999999,-0.14759
44,1,0,0.25,-6,12.0,0.075023,1.1433,-0.14212,-0.0035320000000000074,-0.02750000000000008,-0.08093999999999998
45,1,0,0.25,-6,10.0,0.05594299999999999,0.9893799999999999,-0.070156,-0.003232999999999993,-0.029689999999999994,-0.086064
46,1,0,0.25,-6,9.0,0.047607,0.91127,-0.036184,-0.0030610000000000012,-0.03076000000000001,-0.088526
47,1,0,0.25,-6,8.0,0.040097,0.8324799999999999,-0.0036094,-0.0028760000000000036,-0.03181999999999985,-0.09092360000000001
48,1,0,0.25,-6,7.0,0.033427,0.7531,0.027526,-0.002675999999999998,-0.03286,-0.09324199999999999
49,1,0,0.25,-6,6.0,0.027610000000000003,0.6732100000000001,0.057183000000000005,-0.0024630000000000034,-0.03390000000000004,-0.09548200000000001
50,1,0,0.25,-6,5.5,0.025024,0.6330899999999999,0.071447,-0.0023510000000000024,-0.034399999999999986,-0.09657199999999999
51,1,0,0.25,-6,5.0,0.022655,0.59287,0.085327,-0.002236000000000002,-0.03490000000000004,-0.09764
52,1,0,0.25,-6,4.5,0.020503999999999998,0.55257,0.09882200000000001,-0.002117999999999995,-0.03540999999999994,-0.09868786
53,1,0,0.25,-6,4.0,0.018571999999999998,0.51218,0.11193,-0.0019959999999999978,-0.03589999999999993,-0.099718
54,1,0,0.25,-6,3.5,0.016859,0.47173000000000004,0.12464000000000001,-0.0018709999999999994,-0.03639000000000009,-0.10072100000000002
55,1,0,0.25,-6,3.0,0.015366,0.43122,0.13695,-0.0017429999999999998,-0.03687999999999997,-0.10169999999999998
56,1,0,0.25,-6,2.5,0.014093000000000001,0.39066,0.14886,-0.0016110000000000013,-0.037370000000000014,-0.102657
57,1,0,0.25,-6,2.0,0.013041,0.35006,0.16037,-0.0014759999999999999,-0.037839999999999985,-0.10359400000000002
58,1,0,0.25,-6,1.5,0.012209000000000001,0.30943000000000004,0.17147,-0.0013370000000000014,-0.038310000000000066,-0.10450500000000001
59,1,0,0.25,-6,1.0,0.011599,0.26878,0.18216,-0.0011970000000000001,-0.03877000000000003,-0.105392
