Layout, Wing, Span, dV, AOA, Cx, Cy, Mz
1, 0, 0.25, -2,   1.  ,    0.10691E-01,  0.24405    ,  0.11467    
1, 0, 0.25, -2,   0.5 ,    0.10392E-01,  0.20301    ,  0.12418    
1, 0, 0.25, -2,   0.0 ,    0.10316E-01,  0.16197    ,  0.13330    
1, 0, 0.25, -2,  -0.5 ,    0.10463E-01,  0.12095    ,  0.14201    
1, 0, 0.25, -2,   -1. ,    0.10832E-01,  0.79961E-01,  0.15032    
1, 0, 0.25, -2,  -2.0 ,    0.12233E-01, -0.19047E-02,  0.16573    
1, 0, 0.25, -2,  -4.0 ,    0.17662E-01, -0.16486    ,  0.19168    
1, 0, 0.25, 0,  12.  ,    0.71491E-01,   1.1158    , -0.22306    
1, 0, 0.25, 0,  10.  ,    0.52710E-01,  0.95969    , -0.15622    
1, 0, 0.25, 0,   9.  ,    0.44546E-01,  0.88051    , -0.12471    
1, 0, 0.25, 0,   8.  ,    0.37221E-01,  0.80066    , -0.94533E-01
1, 0, 0.25, 0,   7.  ,    0.30751E-01,  0.72024    , -0.65716E-01
1, 0, 0.25, 0,   6.  ,    0.25147E-01,  0.63931    , -0.38299E-01
1, 0, 0.25, 0,   5.5 ,    0.22673E-01,  0.59869    , -0.25125E-01
1, 0, 0.25, 0,   5.  ,    0.20419E-01,  0.55797    , -0.12313E-01
1, 0, 0.25, 0,   4.5 ,    0.18386E-01,  0.51716    ,  0.13414E-03
1, 0, 0.25, 0,   4.  ,    0.16576E-01,  0.47628    ,  0.12212E-01
1, 0, 0.25, 0,   3.5 ,    0.14988E-01,  0.43534    ,  0.23919E-01
1, 0, 0.25, 0,   3.  ,    0.13623E-01,  0.39434    ,  0.35250E-01
1, 0, 0.25, 0,   2.5 ,    0.12482E-01,  0.35329    ,  0.46203E-01
1, 0, 0.25, 0,   2.0 ,    0.11565E-01,  0.31222    ,  0.56776E-01
1, 0, 0.25, 0,   1.5 ,    0.10872E-01,  0.27112    ,  0.66965E-01
1, 0, 0.25, 0,   1.  ,    0.10402E-01,  0.23001    ,  0.76768E-01
1, 0, 0.25, 0,   0.5 ,    0.10157E-01,  0.18889    ,  0.86184E-01
1, 0, 0.25, 0,   0.0 ,    0.10135E-01,  0.14778    ,  0.95209E-01
1, 0, 0.25, 0,  -0.5 ,    0.10336E-01,  0.10669    ,  0.10384    
1, 0, 0.25, 0,   -1. ,    0.10760E-01,  0.65633E-01,  0.11208    
1, 0, 0.25, 0,  -2.0 ,    0.12273E-01, -0.16362E-01,  0.12738    
1, 0, 0.25, 0,  -4.0 ,    0.17931E-01, -0.17955    ,  0.15318    
1, 0, 0.25, 2,  12.  ,    0.70027E-01,   1.1006    , -0.26524    
1, 0, 0.25, 2,  10.  ,    0.51486E-01,  0.94447    , -0.19828    
1, 0, 0.25, 2,   9.  ,    0.43441E-01,  0.86529    , -0.16666    
1, 0, 0.25, 2,   8.  ,    0.36236E-01,  0.78545    , -0.13634    
1, 0, 0.25, 2,   7.  ,    0.29884E-01,  0.70505    , -0.10736    
1, 0, 0.25, 2,   6.  ,    0.24399E-01,  0.62415    , -0.79748E-01
1, 0, 0.25, 2,   5.5 ,    0.21984E-01,  0.58354    , -0.66467E-01
